,Unnamed: 0,doi,predicateLabel,paper_title,contribution,research_field_label,unpaywall_abstract
51,51,10.1002/2017ef000732,"Global Mean Sea level Rise Projection, research problem, Global Mean Sea level Rise Projection, research problem",Adjusting Mitigation Pathways to Stabilize Climate at 1.5°C and 2.0°C Rise in Global Temperatures to Year 2300,http://orkg.org/orkg/resource/R49133,Climate,"To avoid the most dangerous consequences of anthropogenic climate change, the Paris Agreement provides a clear and agreed climate mitigation target of stabilizing global surface warming to under 2.0°C above preindustrial, and preferably closer to 1.5°C. However, policy makers do not currently know exactly what carbon emissions pathways to follow to stabilize warming below these agreed targets, because there is large uncertainty in future temperature rise for any given pathway. This large uncertainty makes it difficult for a cautious policy maker to avoid either: (1) allowing warming to exceed the agreed target or (2) cutting global emissions more than is required to satisfy the agreed target, and their associated societal costs. This study presents a novel Adjusting Mitigation Pathway (AMP) approach to restrict future warming to policy‐driven targets, in which future emissions reductions are not fully determined now but respond to future surface warming each decade in a self‐adjusting manner. A large ensemble of Earth system model simulations, constrained by geological and historical observations of past climate change, demonstrates our self‐adjusting mitigation approach for a range of climate stabilization targets ranging from 1.5°C to 4.5°C, and generates AMP scenarios up to year 2300 for surface warming, carbon emissions, atmospheric CO<jats:sub>2</jats:sub>, global mean sea level, and surface ocean acidification. We find that lower 21st century warming targets will significantly reduce ocean acidification this century, and will avoid up to 4 m of sea‐level rise by year 2300 relative to a high‐end scenario."
254,254,10.1002/9781118960608.gbm01210,"has toxin, has lysine catabolic pathway type, research problem, research problem, research problem, has toxin, research problem, research problem, has toxin, research problem, has toxin, research problem, has toxin, has toxin, research problem, has toxin, has toxin, has lysine catabolic pathway type, has toxin, research problem, research problem, research problem, research problem, has toxin, research problem, research problem, has toxin, has toxin, research problem, has lysine catabolic pathway type, has lysine catabolic pathway type, has toxin, research problem, research problem, has lysine catabolic pathway type, research problem, has toxin, research problem",Pseudomonas,http://orkg.org/orkg/resource/R69020,Bacteriology,"
            <jats:italic>Pseu.do' mo.nas or Pseu.do.mo' nas</jats:italic>
            . Gr. adj.
            <jats:italic>pseudes</jats:italic>
            false; Gr. n.
            <jats:italic>monas</jats:italic>
            a unit, monad; M.L. fem. n.
            <jats:italic>Pseudomonas</jats:italic>
            false monad.
          
          Proteobacteria / Gammaproteobacteria / Pseudomonadales / Pseudomonadaceae / Pseudomonas
          
            <jats:bold>Straight or slightly curved rods</jats:bold>
            but not helical, 0.5–1.0 × 1.5–5.0 µm.
            <jats:bold>Most of the species do not accumulate granules of polyhydroxybutyrate</jats:bold>
            , but accumulation of polyhydroxyalkanoates of monomer lengths higher than C
            <jats:sub>4</jats:sub>
            may occur when growing on alkanes or gluconate. Do not produce prosthecae and are not surrounded by sheaths. No resting stages are known. Gram negative.
            <jats:bold>Motile by one or several polar flagella</jats:bold>
            ; rarely nonmotile. In some species lateral flagella of short wavelength may also be formed.
            <jats:bold>Aerobic, having a strictly respiratory type of metabolism with oxygen as the terminal electron acceptor; in some cases nitrate can be used as an alternate electron acceptor</jats:bold>
            , allowing growth to occur anaerobically.
            <jats:bold>Xanthomonadins are not produced</jats:bold>
            . Most, if not all, species fail to grow under acid conditions (pH 4.5 or lower). Most species do not require organic growth factors. Oxidase positive or negative. Catalase positive. Chemoorganotrophic.
            <jats:bold>Strains of the species include in their composition the hydroxylated fatty acids C</jats:bold>
            <jats:sub>
              <jats:bold>10</jats:bold>
              :
              <jats:bold>0 3OH</jats:bold>
            </jats:sub>
            <jats:bold>and C</jats:bold>
            <jats:sub>
              <jats:bold>12</jats:bold>
              :
              <jats:bold>0</jats:bold>
            </jats:sub>
            ,
            <jats:bold>and C</jats:bold>
            <jats:sub>
              <jats:bold>12</jats:bold>
              :
              <jats:bold>0 2OH</jats:bold>
            </jats:sub>
            ,
            <jats:bold>and ubiquinone Q‐9</jats:bold>
            . Widely distributed in nature. Some species are pathogenic for humans, animals, or plants.
          
          
            <jats:italic>The mol</jats:italic>
            %
            <jats:italic>G</jats:italic>
            +
            <jats:italic>C of the DNA is</jats:italic>
            : 58–69.
          
          
            <jats:italic>Type species</jats:italic>
            :
            <jats:bold>Pseudomonas aeruginosa</jats:bold>
            (Schroeter 1872) Migula 1900, 884 (
            <jats:italic>Bacterium aeruginosum</jats:italic>
            Schroeter 1872, 126.)
          "
258,258,10.1002/JMV.20423,"research problem, material, location, norovirus genotype, method",Norwalk virus infection associates with secretor status genotyped from sera,http://orkg.org/orkg/resource/R215789,Virology,"ABO histo‐blood group type and secretor status are two genetically determined factors that contribute to resistance and susceptibility to Norwalk virus (NV). Archived serum samples but not saliva samples are available from NV and many other norovirus challenge studies and outbreaks. A person's ABO phenotype is easily determined from their archived sera, but the individual's secretor phenotype cannot easily be ascertained without saliva. We now report that a person's secretor genotype can also be determined from the archived serum samples. Of the 51 volunteers who participated in a NV challenge study, all eight non‐secretors were resistant to NV infection, all of the 42 NV‐infected volunteers were secretor positive, and a single uninfected secretor was histo‐blood group type B. In agreement with a previous report, secretor status was most predictive of risk of NV infection. The methods described in this report should rapidly improve our knowledge of the associations between carbohydrate antigen expression and susceptibility to different strains of the non‐cultivatable noroviruses by enabling retrospective studies from previously collected volunteer challenge and outbreak sera. J. Med. Virol. 77:116–120, 2005. © 2005 Wiley‐Liss, Inc."
259,259,10.1002/adfm.201000723,"result, method, has material, research problem",High-Nanofiller-Content Graphene Oxide-Polymer Nanocomposites via Vacuum-Assisted Self-Assembly,http://orkg.org/orkg/resource/R189428,Materials Science and Engineering,"Highly ordered, homogeneous polymer nanocomposites of layered graphene oxide are prepared using a vacuum‐assisted self‐assembly (VASA) technique. In VASA, all components (nanofiller and polymer) are pre‐mixed prior to assembly under a flow, making it compatible with either hydrophilic poly(vinyl alcohol) (PVA) or hydrophobic poly(methyl methacrylate) (PMMA) for the preparation of composites with over 50 wt% filler. This process is complimentary to layer‐by‐layer assembly, where the assembling components are required to interact strongly (e.g., via Coulombic attraction). The nanosheets within the VASA‐assembled composites exhibit a high degree of order with tunable intersheet spacing, depending on the polymer content. Graphene oxide–PVA nanocomposites, prepared from water, exhibit greatly improved modulus values in comparison to films of either pure PVA or pure graphene oxide. Modulus values for graphene oxide–PMMA nanocomposites, prepared from dimethylformamide, are intermediate to those of the pure components. The differences in structure, modulus, and strength can be attributed to the gallery composition, specifically the hydrogen bonding ability of the intercalating species"
260,260,10.1002/adfm.201300486,research problem,H‐doped black titania with very high solar absorption and excellent photocatalysis enhanced by localized surface plasmon resonance,http://orkg.org/orkg/resource/R46130,Chemistry,"Black TiO<jats:sub>2</jats:sub> attracts enormous attention due to its large solar absorption and induced excellent photocatalytic activity. Herein, a new approach assisted by hydrogen plasma to synthesize unique H‐doped black titania with a core/shell structure (TiO<jats:sub>2</jats:sub>@TiO<jats:sub>2‐<jats:italic>x</jats:italic></jats:sub>H<jats:sub><jats:italic>x</jats:italic></jats:sub>) is presented, superior to the high H<jats:sub>2</jats:sub>‐pressure process (under 20 bar for five days). The black titania possesses the largest solar absorption (≈83%), far more than any other reported black titania (the record (high‐pressure): ≈30%). H doping is favorable to eliminate the recombination centers of light‐induced electrons and holes. High absorption and low recombination ensure the excellent photocatalytic activity for the black titania in the photo‐oxidation of organic molecules in water and the production of hydrogen. The H‐doped amorphous shell is proposed to play the same role as Ag or Pt loading on TiO<jats:sub>2</jats:sub> nanocrystals, which induces the localized surface plasma resonance and black coloration. Photocatalytic water splitting and cleaning using TiO<jats:sub>2‐<jats:italic>x</jats:italic></jats:sub>H<jats:sub><jats:italic>x</jats:italic></jats:sub> is believed to have a bright future for sustainable energy sources and cleaning environment."
261,261,10.1002/adfm.201300765,"result, research problem, method, has material, Sample shape and dimensions, Sample shape and dimensions, Sample shape and dimensions, method, has material, has material, result, method, research problem, result, research problem, Sample shape and dimensions, has material, result, research problem, method",Scalable One-Step Wet-Spinning of Graphene Fibers and Yarns from Liquid Crystalline Dispersions of Graphene Oxide: Towards Multifunctional Textiles,http://orkg.org/orkg/resource/R211063,Materials Science and Engineering,"Key points in the formation of liquid crystalline (LC) dispersions of graphene oxide (GO) and their processability via wet‐spinning to produce long lengths of micrometer‐dimensional fibers and yarns are addressed. Based on rheological and polarized optical microscopy investigations, a rational relation between GO sheet size and polydispersity, concentration, liquid crystallinity, and spinnability is proposed, leading to an understanding of lyotropic LC behavior and fiber spinnability. The knowledge gained from the straightforward formulation of LC GO “inks” in a range of processable concentrations enables the spinning of continuous conducting, strong, and robust fibers at concentrations as low as 0.075 wt%, eliminating the need for relatively concentrated spinning dope dispersions. The dilute LC GO dispersion is proven to be suitable for fiber spinning using a number of coagulation strategies, including non‐solvent precipitation, dispersion destabilization, ionic cross‐linking, and polyelectrolyte complexation. One‐step continuous spinning of graphene fibers and yarns is introduced for the first time by in situ spinning of LC GO in basic coagulation baths (i.e., NaOH or KOH), eliminating the need for post‐treatment processes. The thermal conductivity of these graphene fibers is found to be much higher than polycrystalline graphite and other types of 3D carbon based materials."
262,262,10.1002/adfm.201404357,"research problem, result, has material, has property, method","A Novel Design Strategy for Fully Physically Linked Double Network Hydrogels with Tough, Fatigue Resistant, and Self-Healing Properties",http://orkg.org/orkg/resource/R232821,Materials Science and Engineering,"Double network (DN) hydrogels with two strong asymmetric networks being chemically linked have demonstrated their excellent mechanical properties as the toughest hydrogels, but chemically linked DN gels often exhibit negligible fatigue resistance and poor self‐healing property due to the irreversible chain breaks in covalent‐linked networks. Here, a new design strategy is proposed and demonstrated to improve both fatigue resistance and self‐healing property of DN gels by introducing a ductile, nonsoft gel with strong hydrophobic interactions as the second network. Based on this design strategy, a new type of fully physically cross‐linked Agar/hydrophobically associated polyacrylamide (HPAAm) DN gels are synthesized by a simple one‐pot method. Agar/HPAAm DN gels exhibit excellent mechanical strength and high toughness, comparable to the reported DN gels. More importantly, because the ductile and tough second network of HPAAm can bear stress and reconstruct network structure, Agar/HPAAm DN gels also demonstrate rapid self‐recovery, remarkable fatigue resistance, and notable self‐healing property without any external stimuli at room temperature. In contrast to the former DN gels in both network structures and underlying association forces, this new design strategy to prepare highly mechanical DN gels provides a new avenue to better understand the fundamental structure‐property relationship of DN hydrogels, thus broadening current hydrogel research and applications."
263,263,10.1002/adfm.201501000,"research problem, Area of study",Highly Stretchable and Sensitive Strain Sensors Using Fragmentized Graphene Foam,http://orkg.org/orkg/resource/R161628,Nanoscience and Nanotechnology,"Stretchable electronics have recently been extensively investigated for the development of highly advanced human‐interactive devices. Here, a highly stretchable and sensitive strain sensor is fabricated based on the composite of fragmentized graphene foam (FGF) and polydimethylsiloxane (PDMS). A graphene foam (GF) is disintegrated into 200–300 μm sized fragments while maintaining its 3D structure by using a vortex mixer, forming a percolation network of the FGFs. The strain sensor shows high sensitivity with a gauge factor of 15 to 29, which is much higher compared to the GF/PDMS strain sensor with a gauge factor of 2.2. It is attributed to the great change in the contact resistance between FGFs over the large contact area, when stretched. In addition to the high sensitivity, the FGF/PDMS strain sensor exhibits high stretchability over 70% and high durability over 10 000 stretching‐releasing cycles. When the sensor is attached to the human body, it functions as a health‐monitoring device by detecting various human motions such as the bending of elbows and fingers in addition to the pulse of radial artery. Finally, by using the FGF, PDMS, and μ‐LEDs, a stretchable touch sensor array is fabricated, thus demonstrating its potential application as an artificial skin."
264,264,10.1002/adfm.201601237,"research problem, Area of study",Flexible Textile Strain Wireless Sensor Functionalized with Hybrid Carbon Nanomaterials Supported ZnO Nanowires with Controlled Aspect Ratio,http://orkg.org/orkg/resource/R161634,Nanoscience and Nanotechnology,"Smart fabrics and interactive textiles have attracted great interest as a newly emergent material because of their multifunctional capabilities. Herein, a highly robust wireless flexible strain sensor on the basis of commercial textile by the integration of functional hybrid carbon nanomaterials and piezoresistive material is fabricated. Specifically, a solution‐processable spray‐assisted coating approach that enables the creation of a uniform coating over a large area of fabrics is employed. The textile‐based strain sensor exhibits a highly stable and immediate response over a wide range of bending curvatures and structural properties of ZnO nanowires because of their different deflection behaviors. The wearing performance with attaching on commercial fabrics is further demonstrated. The as‐prepared sensor responds well to diverse body motions with accurate detection of strain magnitude and even extends its viability in wireless remote sensing by connecting to a wireless transmitter. The novel approach for the modification of textiles with functional nanomaterials may provide a feasible approach for the production of textile‐based electronics without employing any sophisticated fabrication processes, and it further exploits the diverse functionalities by utilizing various sensing components."
265,265,10.1002/adfm.201604327,"method, research problem, result, has material, has property",A Mineralized High Strength and Tough Hydrogel for Skull Bone Regeneration,http://orkg.org/orkg/resource/R232927,Materials Science and Engineering,"Over the past decade, high strength hydrogels have been intensively investigated. However, developing high strength biofunctional hydrogels for eliciting bone regeneration has been rarely reported. In this work, a mineralized high strength and tough hydrogel is synthesized by one‐step copolymerization of acrylonitrile, 1‐vinylimidazole, and polyethylene glycol diacrylate, followed by in situ precipitation mineralization. It is demonstrated that the CNCN dipole–dipole pairings combined with the interaction of CaP nanocrystals with polymer chains contribute to tremendous increase of tensile/compressive strength, modulus, and fracture energy up to 6.1 MPa, 11.5 MPa, 6.47 MPa, and 7935 J m<jats:sup>−2</jats:sup>, respectively. The biomineralization is shown to facilitate the attachment and proliferation of C2C12 cells in vitro. This biomineralized hydrogel scaffold is implanted into an 8 mm diameter critical‐size of calvarial defect of rats to evaluate the bone regeneration. 12 week postsurgery results reveal that the mineralized hydrogel exhibits the highest bone volume and density within the defect as measured by computed tomography and histology. This mineralized high strength and tough hydrogel offers a broad range of possibilities to be developed as biofunctional scaffold to promote the reconstruction and regeneration of not only bone, but also load‐bearing connective tissue."
266,266,10.1002/adfm.201605636,"result, research problem, has material, method",Superior Fatigue Resistant Bioinspired Graphene-Based Nanocomposite via Synergistic Interfacial Interactions,http://orkg.org/orkg/resource/R203399,Materials Science and Engineering,"Excellent fatigue resistance is a prerequisite for flexible energy devices to achieve high and stable performance under repeated deformation state. Inspired by the sophisticated interfacial architecture of nacre, herein a super fatigue‐resistant graphene‐based nanocomposite with integrated high tensile strength and toughness through poly(dopamine)‐nickel ion (Ni<jats:sup>2+</jats:sup>) chelate architecture that mimics byssal threads is demonstrated. These kind of synergistic interfacial interactions of covalent and ionic bonding effectively suppress the crack propagation in the process of fatigue testing, resulting in superhigh fatigue life of this bioinspired graphene‐based nanocomposite (BGBN). In addition, the electrical conductivity is well kept after fatigue testing. The proposed synergistic interfacial interactions could serve as a guideline for fabricating high‐performance multifunctional BGBNs with promising applications in flexible energy devices, such as flexible electrodes for supercapacitors and lithium batteries, etc."
